x,y,u,v,p
0.00055587,7.8858e-05,-2.4022e-08,2.7731e-07,-0.00062182
0.00056315,7.9892e-05,-3.1468e-08,3.3101e-07,-0.00062211
0.00057127,8.1044e-05,-4.2923e-08,3.9257e-07,-0.00062244
0.00058032,8.2327e-05,-6.1278e-08,4.6223e-07,-0.00062281
0.00059039,8.3756e-05,-9.0543e-08,5.4007e-07,-0.00062324
0.00060161,8.5348e-05,-1.3563e-07,6.266e-07,-0.00062373
0.00061411,8.7121e-05,-2.034e-07,7.2279e-07,-0.00062428
0.00062804,8.9097e-05,-3.0203e-07,8.3003e-07,-0.00062492
0.00064355,9.1297e-05,-4.4085e-07,9.506e-07,-0.00062564
0.00066083,9.3749e-05,-6.3085e-07,1.088e-06,-0.00062646
0.00068008,9.648e-05,-8.8489e-07,1.247e-06,-0.00062738
0.00070152,9.9522e-05,-1.2187e-06,1.4341e-06,-0.00062843
0.00072541,0.00010291,-1.6527e-06,1.657e-06,-0.0006296
0.00075202,0.00010669,-2.2147e-06,1.9256e-06,-0.00063094
0.00078167,0.00011089,-2.9429e-06,2.2515e-06,-0.00063246
0.00081469,0.00011558,-3.8877e-06,2.6475e-06,-0.00063421
0.00085148,0.0001208,-5.1093e-06,3.1242e-06,-0.00063623
0.00089246,0.00012661,-6.6664e-06,3.6836e-06,-0.00063853
0.00093811,0.00013308,-8.5869e-06,4.3075e-06,-0.00064109
0.00098896,0.0001403,-1.0817e-05,4.943e-06,-0.00064379
0.0010456,0.00014834,-1.3145e-05,5.49e-06,-0.00064638
0.0011087,0.00015729,-1.5139e-05,5.7948e-06,-0.00064844
0.001179,0.00016726,-1.6047e-05,5.6436e-06,-0.0006494
0.0012573,0.00017837,-1.4671e-05,4.7717e-06,-0.00064853
0.0013446,0.00019075,-9.4594e-06,2.9077e-06,-0.00064503
0.0014417,0.00020453,1.4018e-06,-1.8527e-07,-0.00063814
0.00155,0.00021989,1.9922e-05,-4.6861e-06,-0.00062727
0.0016706,0.000237,4.8095e-05,-1.0684e-05,-0.00061209
0.0018049,0.00025605,8.7741e-05,-1.8157e-05,-0.00059253
0.0019545,0.00027728,0.00014035,-2.699e-05,-0.00056884
